correct_word,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,morpheme_breakdown,common_typos,typo_patterns,correction_rules,phonetic_rules,error_categories
अक्षर,अक्,अक्ष,अक्षर,अक्षर,अक्षर,अक्षर,अ+क्+ष+र,"[""अक्शर"",""अख्षर"",""अक्ष्र"",""अक्श्र"",""अक्षर्"",""अक्सर"",""अख्शर""]","[""ष→श"",""क्ष→ख्ष"",""र→्र"",""ष→स"",""add_halant"",""consonant_swap""]","[""anusvara_confusion"",""consonant_similarity""]","[""ʃ→ʂ"",""kʃ→kʰʃ"",""ɾ→ɾ""]","[""consonant_aspiration"",""vowel_placement"",""halant_errors""]"
अखण्ड,अख,अखण,अखण्ड,अखण्ड,अखण्ड,अखण्ड,अ+ख+ण+ड,"[""अखंड"",""अखणड"",""अखणद"",""अखन्ड"",""अखाण्ड"",""अखण्ड्"",""अखंड्""]","[""ण→ं"",""ड→द"",""ण→न"",""add_vowel"",""add_halant"",""anusvara_error""]","[""vowel_length"",""consonant_confusion""]","[""ɳ→ŋ"",""ɖ→d̪"",""ɳ→n"",""a→aː""]","[""nasal_confusion"",""retroflex_error"",""vowel_length""]"
अगुवा,अग,अगु,अगुव,अगुवा,अगुवा,अगुवा,अ+ग+उ+व+आ,"[""अगूवा"",""अगुबा"",""अगुहा"",""अगुवा"",""अघुवा"",""अगुवाह"",""अगूबा""]","[""उ→ऊ"",""व→ब"",""व→ह"",""ग→घ"",""add_consonant"",""vowel_length""]","[""voicing_confusion"",""halant_addition""]","[""u→uː"",""ʋ→b"",""ʋ→ɦ"",""ɡ→ɡʱ""]","[""voicing_errors"",""aspiration"",""vowel_duration""]"
अग्रज,अग,अग्,अग्र,अग्रज,अग्रज,अग्रज,अ+ग्+र+ज,"[""अघ्रज"",""अग्रझ"",""अग्रज्"",""अग्राज"",""अग्रज"",""अघ्रझ"",""अग्रहज""]","[""ग→घ"",""ज→झ"",""add_halant"",""add_vowel"",""ज→ह"",""double_aspiration""]","[""matra_confusion"",""voicing_error""]","[""ɡ→ɡʱ"",""dʒ→dʒʱ"",""dʒ→ɦ""]","[""consonant_cluster"",""aspiration_chain"",""halant_omission""]"
अजय,अज,अजय,अजय,अजय,अजय,अजय,अ+ज+य,"[""अजै"",""अझय"",""अजय्"",""अजाय"",""अजय"",""अझै"",""अजहय""]","[""य→ै"",""ज→झ"",""add_halant"",""add_vowel"",""insert_consonant"",""double_error""]","[""voicing_error"",""halant_error""]","[""j→ɛ"",""dʒ→dʒʱ"",""j→ɦ""]","[""matra_substitution"",""consonant_insertion"",""double_errors""]"
अजर,अज,अजर,अजर,अजर,अजर,अजर,अ+ज+र,"[""अझर"",""अजर्"",""अजहर"",""अजार"",""अजर"",""अझहर"",""अजरह""]","[""ज→झ"",""add_halant"",""insert_h"",""add_vowel"",""double_insertion"",""suffix_addition""]","[""aspiration_confusion"",""halant_error""]","[""dʒ→dʒʱ"",""ɾ→ɦ"",""a→aː"",""a→aː""]","[""consonant_aspiration"",""epenthesis"",""vowel_elongation""]"
अटल,अट,अटल,अटल,अटल,अटल,अटल,अ+ट+ल,"[""अठल"",""अटल्"",""अटहल"",""अटाल"",""अटल"",""अठहल"",""अटलाह""]","[""ट→ठ"",""add_halant"",""insert_h"",""add_vowel"",""double_error"",""suffix_error""]","[""double_swap"",""vowel_confusion""]","[""ʈ→ʈʰ"",""l→ɦ"",""a→aː""]","[""retroflex_aspiration"",""consonant_substitution"",""suffix_errors""]"
अतिथि,अत,अति,अतिथ,अतिथि,अतिथि,अतिथि,अ+त+इ+थ+इ,"[""अतिथी"",""अतीथि"",""अतिथि्"",""अतिथी"",""अतिथ"",""अतीथी"",""अतहिथि""]","[""इ→ई"",""syllable_swap"",""add_halant"",""vowel_swap"",""consonant_drop"",""consonant_swap""]","[""vowel_length"",""aspiration_error""]","[""i→iː"",""t̪→t̪ʰ"",""l→ɦ"",""θ→ɦ""]","[""syllable_metathesis"",""vowel_length"",""consonant_deletion""]"
अतुल,अत,अतु,अतुल,अतुल,अतुल,अतुल,अ+त+उ+ल,"[""अतूल"",""अथुल"",""अतुल्"",""अतुल"",""अतूुल"",""अथूल"",""अतहुल""]","[""उ→ऊ"",""त→थ"",""add_halant"",""vowel_repeat"",""double_aspiration"",""insert_consonant""]","[""consonant_confusion"",""halant_error""]","[""u→uː"",""t̪→t̪ʰ"",""l→ɦ""]","[""vowel_duration"",""consonant_aspiration"",""epenthesis""]"
अथाह,अथ,अथा,अथाह,अथाह,अथाह,अथाह,अ+थ+आ+ह,"[""अताह"",""अथाह्"",""अथाहा"",""अथाह"",""अताहा"",""अथहा"",""अथाअ""]","[""थ→त"",""add_halant"",""add_vowel"",""consonant_drop"",""vowel_swap"",""syllable_break""]","[""anusvara_confusion"",""consonant_similarity""]","[""t̪ʰ→t̪"",""a→aː"",""ɦ→∅""]","[""aspiration_loss"",""vowel_elongation"",""consonant_deletion""]"
