input,target
सचेत,सचेत
गहनाह,गहना
प्रखर्,प्रखर
मओत,मोती
आ,आमूल
क्षमत,क्षमता
चमक्,चमक
धै,धैर्य
यउव,युवा
हार्दिकह,हार्दिक
अखंड्,अखण्ड
आदɦ्श,आदर्श
सत्य्,सत्य
सुनौलो,सुनौलो
तपनह,तपन
तोरहण,तोरण
अखण्ड,अखण्ड
प,पौवा
मंगल्,मंगल
सपना,सपना
मनीषा्,मनीषा
मिठास्,मिठास
सुन्दर्,सुन्दर
गम,गमला
सघहन,सघन
संगमह,संगम
थ,थैली
गहना्,गहना
न,निसाना
उतह्तम,उत्तम
सु,सुविधा
चिरायू,चिरायु
तराहजु,तराजु
कृ,कृपा
बहाल्,बहाल
बाळा,बाला
गा,गाथा
छाय,छायाँ
नर्म,नरम
पवण,पवन
गौर,गौरव
प्रग,प्रगति
सुवर्,सुवर्ण
जुरेहली,जुरेली
मदन,मदन
व,विजय
भउव,भुवन
सआथ,साथी
पोषङ,पोषण
आँगन,आँगन
भूगो,भूगोल
लवहण,लवण
स,सगोल
पौ,पौवा
मौरी,मौरी
सेवआ,सेवा
चमक,चमक
रएस,रेसम
तक्,तक्मा
कदर,कदर
मुहान,मुहान
अरु,अरुण
कोइल,कोइली
चमाक,चमक
थलो,थलो
शइक्ष,शिक्षा
रश्मि,रश्मि
मउ,मुहार
सह,सहारा
सक्षाम,सक्षम
वजन,वजन
कुसुमह,कुसुम
मौलिक,मौलिक
लाल,लाली
न,नयन
कीर्ती,कीर्ति
रओच,रोचक
शयन्,शयन
आधर,आधार
उन्नाति,उन्नति
खानी,खानी
पिप,पिपल
स,सागर
खनइ,खनिज
निकहट,निकट
पुष्प्,पुष्प
सम,समूह
द्,द्रव्य
प्रगति,प्रगति
सिहर्जना,सिर्जना
गौरहव,गौरव
महिमा्,महिमा
सउम,सुमन
कव,कवि
चऔ,चौतारी
लहɦ,लहर
मोहर्,मोहर
विन,विनम्र
ते,तेज
मुना्,मुना
उ,उमङ्ग
सागर्,सागर
नेहत्र,नेत्र
अ,अमर
उ,उदय
खानीह,खानी
नहभ,नभ
निग्म,निगम
सुम,सुमुख
सउ,सुमुख
कवी,कवि
गऋ,गृह
मा,मानव
मआ,माली
य,यन्त्र
सउम,सुमार्ग
ब,बगल
निर्,निर्माण
तथ्,तथ्य
अ,अनुज
तराजू,तराजु
सु,सुरज
आँ,आँगन
जमुनाह,जमुना
उदारह,उदार
सफल,सफल
रेसम्,रेसम
चआहन,चाहना
सन,सन्दुक
ग,गौँथली
जउन,जुनेली
गाठा,गाथा
सम,समीप
अप्रूर्व,अपूर्व
पविहत्र,पवित्र
बहाहल,बहाल
बइहआन,बिहानी
सम,समय
अर्पणह,अर्पण
कीर्,कीर्ति
गाज,गाजल
तिर्सनाह,तिर्सना
दलान्,दलान
समई,समीर
नक्,नक्षत्र
क,कामना
ताली्,ताली
नग्र,नगर
स,सुगन्ध
रओहइ,रोहिणी
सउग,सुगन्ध
कव,कविता
अजय,अजय
भर,भरोसा
सटिक,सटीक
शिशिर,शिशिर
जीवन,जीवन
म,मगन
भुवन,भुवन
बिपहना,बिपना
रिवा,रिवाज
परेहली,परेली
चरहण,चरण
सउध,सुधन
ह,हार्दिक
झलाक,झलक
सआरथ,सारथी
ज,जोर
ल,लाँकुरी
प्रकृती,प्रकृति
कुसुम,कुसुम
दी,दीक्षा
ज्ञान्,ज्ञान
सुहविधा,सुविधा
झरहना,झरना
शान्त,शान्ति
ख,खानी
अज,अजर
गमल,गमला
चाहनाह,चाहना
तलैया,तलैया
चाँहदी,चाँदी
नए,नेत्र
समआ,समाज
डब,डबली
माह,मह
उन्नटि,उन्नति
म,मैना
सु,सुख
दोभानह,दोभान
निसाना्,निसाना
वजहन,वजन
कि,किनारा
प्रकाश,प्रकाश
आसन,आसन
सनद,सन्दुक
साहस्,साहस
किर,किरण
धैर्यह,धैर्य
योहग,योग
दिलह,दिल
बिहानीह,बिहानी
विधा,विधान
मुर,मुरली
विपु,विपुल
समयह,समय
अत,अतुल
तारा,तारा
झर,झरना
नइक,निकास
मितह,मित
आमऊ,आमूल
एकता्,एकता
क,कोपिला
यउग,युगल
सन,सन्ध्या
ताळी,ताली
धैर्य्,धैर्य
सन्ध्याह,सन्ध्या
ममहता,ममता
अखण्द,अखण्ड
समू,समूह
साधन,साधना
लहर्,लहर
महइम,महिमा
सगोल्,सगोल
हरिण्,हरिण
झरना,झरना
नि,निपुण
प्र,प्रगति
ज्योहति,ज्योति
प्रज्ञा्,प्रज्ञा
रइव,रिवाज
कदहर,कदर
जआग,जागृति
न,नहर
र,रुपक
शिर,शिर
थ,थलो
गऔर,गौरव
सुरक्षा,सुरक्षा
ख,खनिज
मैदाण,मैदान
चिराग्,चिराग
अक्श्र,अक्षर
तरेल,तरेली
शुहभ,शुभ
दीक्षा,दीक्षा
समय्,समय
नयहन,नयन
सइरआन,सिरानी
चित्रह,चित्र
सुर,सुरज
ज,जुही
चइरआ,चिरायु
मान,मन
नरम,नरम
साधनाह,साधना
जीव,जीवन
सुदिनह,सुदिन
बिहानी,बिहानी
कआव्,काव्य
भन्ड,भन्डार
मिठाहस,मिठास
सआ,साँध
प्रकऋत,प्रकृति
भुवन्,भुवन
जउनए,जुनेली
तोरङ,तोरण
आंचल्,आँचल
ज्,ज्योति
मसलाह,मसला
जाग,जागृति
मधु्,मधु
शि,शिशिर
दीक्षाह,दीक्षा
निकास्,निकास
सटीकह,सटीक
कं्ठ,कण्ठ
स,सुवर्ण
मदत,मदत
र,रमण
एकटा,एकता
चइ,चित्र
चेतन्,चेतन
नमुन,नमुना
प,पिपल
प्रब,प्रबल
नइर्द,निर्दोष
मानव्,मानव
विशा,विशाल
नमन्,नमन
शा,शान
नमण,नमन
आंगण,आँगन
त्,त्रिकोण
पिप्ल,पिपल
सुव,सुविधा
लवाण,लवण
कवहच,कवच
मकल,मकल
त,तिर्सना
व,वृक्ष
सूधार,सुधार
जरायो,जरायो
साहगर,सागर
कुं्ज,कुञ्ज
नमनह,नमन
जउ,जुरेली
न,निगम
रुपहक,रुपक
थुँहगो,थुँगो
सइ,सिम्रिक
सइ,सिमाना
स,सुदिन
निपुण,निपुण
आस्,आस्था
महन,मन
सदन्,सदन
सिर्जना,सिर्जना
सून,सुन
ज,जुरेली
सघन्,सघन
पओख,पोखरी
छवि,छवि
जई,जीवन
स,सजग
सौहगात,सौगात
सआध,साधना
सुरजह,सुरज
विनय,विनय
भूमिकाह,भूमिका
आस्थ,आस्था
न्यआ,न्याय
शिशि,शिशिर
सफआ,सफा
करउण,करुणा
भवान,भवन
जम,जमिन
सउ,सुधार
सुग,सुगम
सइरजन,सिर्जना
पओष,पोषण
मङ,मंगल
मुहाहान,मुहान
सए,सेवा
आंगन,आँगन
चिराग,चिराग
निर्,निर्मल
काव्यह,काव्य
वइ,विधान
सदन,सदन
निवाहस,निवास
पोषं,पोषण
प्र,प्रकृति
मौलिक्,मौलिक
फट,फटिक
मौरी्,मौरी
जोहर,जोर
बिहान,बिहानी
अझय,अजय
जमुना,जमुना
चऔतआ,चौतारी
आस्थाह,आस्था
सं,संगम
तेज्,तेज
सघन,सघन
सजहग,सजग
ताराह,तारा
मुना,मुना
विद्,विद्या
एकत,एकता
णमण,नमन
मं,मंगल
सउगन,सुगन्ध
त्रिकों,त्रिकोण
कु,कुञ्ज
सगुनह,सगुन
जरआय,जरायो
कपील,कपिल
बगाल,बगल
आया,आयाम
दीप्,दीप
पवित्रह,पवित्र
यात्री्,यात्री
जागृहति,जागृति
सनध,सन्ध्या
अकषर,अक्षर
अटहल,अटल
विनम्र,विनम्र
खजानाह,खजाना
सआ,सारथी
शालीन,शालीन
धनेश्,धनेश
पुस्तक्,पुस्तक
विध,विधान
मणिह,मणि
शालीहन,शालीन
आल,आलोक
आर्जनह,आर्जन
क्ष,क्षमता
ऊर्जा्,ऊर्जा
भउ,भुवन
केस,केसर
खान,खानी
भरोसा,भरोसा
ऊर्,ऊर्जा
नह्र,नहर
अम,अमर
खजाहना,खजाना
जह,जहाज
पउस,पुस्तक
गऔ,गौँथली
स,साथी
चेहर,चेहरा
छहा,छहारी
करुहणा,करुणा
गओरएट,गोरेटो
तराजुह,तराजु
सइमआ,सिमाना
मक्ल,मकल
आस,आसन
छा,छाता
ज्ञाना,ज्ञान
रसइ,रसिक
तलैहया,तलैया
विश,विशाल
सइमर,सिम्रिक
पाइ,पाइला
पन्ना,पन्ना
अथाअ,अथाह
युगलह,युगल
वइव,विविध
विशालह,विशाल
असलह,असल
ढओक,ढोका
छा,छायाँ
साक्षी,साक्षी
सु,सुधन
सक,सकल
निय,नियम
मआन,मानव
उमं्ग,उमङ्ग
दलहान,दलान
दला,दलान
प्,प्रज्ञा
गाजल,गाजल
यओज,योजना
कवच,कवच
लेखक्,लेखक
साहसह,साहस
निवास्,निवास
आका्श,आकाश
शिशीर,शिशिर
सुध,सुधार
पत्रिकाह,पत्रिका
ब,बचन
कुशाल,कुशल
माण,माणिक
आशाह,आशा
कवि्,कवि
भूम,भूमिका
मदतह,मदत
मऐन,मैना
मऔर,मौरी
शआल,शालीन
विका,विकास
दिवसह,दिवस
प्रई,प्रीति
मङग,मंगल
मौस्म,मौसम
खाहनी,खानी
गो,गोरस
पोषण्,पोषण
रेसम,रेसम
चइरआ,चिराग
चाँदीह,चाँदी
वइ,विशाल
व,विकास
सिहम्रिक,सिम्रिक
कपहुर,कपुर
समऊ,समूह
व,विनम्र
सूगम,सुगम
विपुळ,विपुल
चँद,चाँदनी
घुमती,घुम्ती
गुराँस,गुराँस
स,सौगात
सूदिन,सुदिन
तरल्,तरल
प्रणय,प्रणय
यओ,योग
लएख,लेखक
क,कवि
